name	address	shire	city	zip_code	doctor	mail	url	number	region															
Orchard House Dental Care	Orchard House, 16 Ainderby Road, Northallerton, North Yorkshire.			DL7 8HD	Stephanie Phillips	info@orchardhousedentalcare.com	www.orchardhousedentalcare.com		Yorkshire and The Humber															
P&D Surgery - London	The London Welbeck Hospital, London				Mr M D Humzah	 info@pdsurgery.co.uk	www.pdsurgery.co.uk																	
P&D Surgery - Wolverhampton	Summerfield Healthcare, Wolverhampton				Mr M D Humzah	 info@pdsurgery.co.uk	www.pdsurgery.co.uk																	
Pellisandco	26 Higher Bridge Street, Bolton BL1 2HA		Bolton	BL1 2HA		info@pellisandco.com	https://pellisandco.com/	4,41204E+11	North West															
Perfect Eyes	121 Harley St, Marylebone, London			W1G 6AX	Sabrina	shahdesai@hotmail.com	www.perfecteyesltd.com		London															
Perfect Skin Solutions	121 Winter Road, Southsea, Hampshire,			PO4 8DS	Dr Dev Patel	info@perfectskinsolutions.co.uk	www.perfectskinsolutions.co.uk		South East															
PJ Aesthetic Clinic	29 Temple Fortune Parade, Finchley Road		London	NW11 0QS	Dr. Pechman	info@drpjaestheticclinic.com	https://www.drpjaestheticclinic.com/		London															
Premier Laser Clinic - Liverpool Street Branch	4 Spital Sqare		London	E1 6DU	Lucy Xu	admin@premierlaserclinic.co.uk	www.londonpremierlaser.co.uk/clinics/liverpool-street		London															
Premier Laser Clinic - Nottinghill Street Branch	2 Wellington Terrace, London. W2 4LW		London	W2 4LW	Lucy Xu	admin@premierlaserclinic.co.uk	https://www.londonpremierlaser.co.uk/clinics/notting-hill/		London															
Prima Aesthetics	6 King's Buildings, King Street, Chester		Chester	CH1 2AJ	Glyn Estebanaz	info@primaaesthetics.co.uk	https://www.primaaesthetics.co.uk/	1244941574	North West															
Professional Skin	36 Shaw Crescent, South Croydon.			CR2 9JA	Babita Parkas	www.professionalskin.uk/page/contact-us	www.professionalskin.uk		London															
Pulse Light Clinic (Bank Branch)	First Floor, 20 Eastcheap, London.			EC3M 1EB	?	info@pulselightclinic.co.uk	www.pulselightclinic.co.uk		London															
Pure Perfection Clinic	Chester Rd, Rossett, Wrexham			LL12 0HW	Sara Cheeney	hello@pureperfectionclinic.com	www.pureperfectionclinic.com		Wales															
Quinn Clinics	4 Redland Court Road, Bristol,			BS6 7EE	John Quinn	john@quinnclinics.co.uk	www.quinnclinics.co.uk		South West															
Rachael Cornish aesthetics	10 Chestnut Close, Eastleigh, England, SO53 3HH	Hampshire	Eastleigh	SO53 3HH	Rachael cornish	rachael_cornish@hotmail.co.uk			South East															
Re-enhance Medical & Dental Clinic	Progress House, 17 Cecil Rd, Hale, Altrincham			WA15 9NZ	Dr Martin Kinsella	info@re-enhance.com	www.re-enhance.com		North West															
Rebecca Jade Beauty & Aesthetics	30 High Street, Harpenden, Hertfordshire.			AL5 2SX	Rebecca Jade	info@rebeccajadebeauty.co.uk	www.rebeccajadebeauty.co.uk		Eastern															
Reds Salon	3-4 Cairnside South, East Herrington,		Sunderland	SR3 3LS		info@redssalons.com	http://www.redshairandbeauty.com/		North East															
Reforme Medical Centre	1 Ty Glas Road Taibach, Llanishen.  			CF14 5EB	Dr Prashant Murugkar	beautydoctorcardiff@gmail.com	www.reformemedical.co.uk		Wales															
Regents Park Aesthetics	19 Wimpole St, Marylebone, London			W1G 8GE	Kay Greveson	kay@regentsparkaesthetics.co.uk	www.regentsparkaesthetics.co.uk	2075804813	London															
Rejuv Lab	4 Harley Street, London, UK,			W1G 9PB	?	reserve@rejuvlab.com	www.rejuvlab.com		London															
Rejuva Skin Clinic	36 Charles Street Mall, The Broadway Shopping Center			BD1 1US	Nahida Parveen, Amy Dixon, Goda Lucosate	info@rejuvaskin.co.uk	www.rejuvaskin.co.uk	1274800811	Yorkshire and The Humber															
RejuvaMed	Holmes Cottage, Woone Lane, Clitheroe,			BB7 1BG	Dr Grant McKeating	info@rejuvamed.co.uk	www.rejuvamed.co.uk		North West															
Rejuvea Leicestershire	Swithland Leicestershire LE12 8TG				Reeta Kumar	info@rejuvea.co.uk	www.rejuvea.co.uk																	
Rejuvea London	Charterhouse Clinic, 98 Crawford Street, Marylebone			WIH 2HL	Reeta Kumar	info@rejuvea.co.uk	www.rejuvea.co.uk		East Midlands															
Renovatio Clinic	Cherry tree farm Cherry tree lane		Cheshire	WA14 3RZ	Dr Sof Rimouche	info@renovatioclinic.co.uk	www.renovatioclinic.co.uk	1618506818	North West															
Revekka Treatments	10 Market Place		Wetherby	LS22 6NE	Rebecca Tatterton	rebecca_t@hotmail.co.uk	https://www.revekkatreatments.co.uk/	7595354096	Yorkshire and The Humber															
Revere Clinics	100 Harley Street, London,			W1G 7JA	Dr Sach Mohan	www.revereclinics.com/contact-us/	www.revereclinics.com		London															
ReWonder	23 Westgate, Almondbury, Huddersfield.			HD5 8XF	Fiona Wondergem	info@rewonder.co.uk	www.rewonder.co.uk		Yorkshire and The Humber															
River Aesthetics	Unit 1 The Old Sorting Office, 5 Albert Rd,		Bournemouth	BH1 1AX			https://riveraesthetics.com/	1202024060	South West															
Saving Grace Medispa	2 Clare Stables, Vicarage Road, Stony Stratford.			MK11 1BN	Carly & Stephanie Toms	info@sgskinclinic.com	www.savinggracemedispa.com		South East															
Scottish Dentistry	335 Govan Rd, Glasgow			G51 2SE	Fiona Anderson	enquiry@scottishdentistry.com	www.scottishdentistry.com		Scotland															
SDS Rejuvenate Medispa	163-165 Telegraph Rd Heswall		Heswall	CH60 7SE		Heswall@sdsrejuvenate.co.uk	https://sdsrejuvenate.co.uk	1513484878	North West															
Signature Clinic	93A Manchester Rd, Rochdale Glasgow			OL11 4JG	Mr Rohit Seth	hello@signatureclinic.co.uk	www.signatureclinic.co.uk		North West															
Signature Clinic London	Suite 605, 64 North Row Mayfair, London.			W1K 7DA	Dr Melissa McKay / Nurse Toni Harewood / Nurse Rebecca Church	?info@signaturecliniclondon.com	www.signaturecliniclondon.com	2036332806	London															
Signature Clinic London	3a Parkgate, 117 Liverpool Rd, Longton, Preston			PR4 5AA	Dr Eleanor Jolly / Evie Quirk / Chloe Stowe	info@signaturecliniclondon.com	https://signaturecliniclondon.com/	2036332806	North West															
Skin by Hartley Aesthetics	93 Dodworth Road	South Yorkshire	Barnsley	S75 3EG	Emma Trueman	hartleyaesthetics@icloud.com	https://skinbyhartleyaesthetics.co.uk/		Yorkshire and The Humber															
Skin by Simona	1 Adam and Eve Mews, Kensington, London			W8 6UG	Simona	info@skinbysimona.com	www.skinbysimona.com		London															
Skin Decisions	Unit 14 Drake Mill Business park, Plymouth.			PL6 7PS	Dr Alison Elsey	https://alisonelsey.co.uk/contact-dr-alison-elsey/	https://alisonelsey.co.uk/	7702046322	South West															
Skin Doctor Clinics	Manchester, Leeds, York, London				Dr Saleena Zimri	leeds@skindoctorclinics.co.uk	www.skindoctorclinics.co.uk																	
Skin Excellence Clinics Wells	The CheeseYard West Horrington Nr Wells Somerset			BA5 3ED	Dr Ian Strawford	info@skinexcellenceclinics.co.uk	www.skinexcellenceclinics.co.uk		South West															
Skin Excellence Clinics, Dorchester	The Melbury Clinic Higher Barn Holt Mill Dorchester			DT2 0XL	Dr Ian Strawford	info@skinexcellenceclinics.co.uk	www.skinexcellenceclinics.co.uk		South West															
Skin Excellence Clinics, Plymouth	First Floor 4 The Crescent Plymouth Devon			PL1 3AB	Dr Ian Strawford	info@skinexcellenceclinics.co.uk	www.skinexcellenceclinics.co.uk		South West															
Skin Matters	119B Portland Rd, London			W11 4LN	Joanne Evans	enquiries@skin-matters.co.uk	www.skin-matters.co.uk		London															
Skin Radiance Clinics	The Tower Clinic, 8 Tinshill Lane, Cookridge, Leeds,			LS16 7AP	Dr Raj Thethi	info@skinradianceclinics.co.uk	www.skinradianceclinics.co.uk		Yorkshire and The Humber															
Skin+IQ	11 Elystan St, Chelsea, London.			SW3 3NT	?	info@skinplusiq.co.uk	www.skinplusiq.co.uk		London															
Skinesis Medical	259 Pavilion Road London			SW1X 0BP	Dr. Alexis	clinic@sarahchapman.com	www.sarahchapman.com/skinesis-clinic		London															
Skinsthetics Skin Clinic	Liverpool				Robyn	https://phorest.com/book/salons/robynsmakeoverstudio	?																	
Skintec	The Courtyard Building Widbury Hill Farm Widbury Barns, Ware SG12 7QE			SG12 7QE		info@skintec.co.uk	https://skintec.co.uk/	4,47399E+11	Eastern															
Skintique Clinic	342 Welford Road, Leicester,			LE2 6EH	Natalia Hancock RGN	info@skintiqueclinic.com	www.skintiqueclinic.com		East Midlands															
SkinWorx Clinic	145 The Avenue	Alwoodley	Leeds	LS17 7PA		skinworxclinic@gmail.com	https://www.skinworxclinic.co.uk/		Yorkshire and The Humber															
Smileworks Liverpool	Liverpool ONE, 1a Kenyons Steps, Liverpool.		Liverpool	L1 3DF	Dr MJ Rowland-Warmann	concierge@sexydentistry.com	https://www.smileworksliverpool.co.uk/morpheus8-liverpool/	4,41512E+11	North West															
Solihull Medical Cosmetic Clinic	20 Chelmsley Ln, Marston Green, Birmingham			B37 7BG	Dr Victor Sagoo	www.solihullmedicalcosmeticclinic.co.uk/contact-us	www.solihullmedicalcosmeticclinic.co.uk		West Midlands															
Soul Care Aesthetics Ltd	Chase House, Newhall St, Cannock			WS11 1GR	Dr Ian Morgan	soulcareaestheticsltd@yahoo.com	www.soulcareaestheticsltd.co.uk		West Midlands															
Specialist Skin Clinic	10 Penlline Road	Whitchurch	Cardiff	CF14 2AD	Maria Gonzalez	doctorg@rocketmail.com	http://www.specialistskinclinic.co.uk/contact-us/	2920617690	Wales															
Surface Clinic	51 Bingley Rd, Bradford, Shipley			BD18 4SB	Roxy	roxy@surfaceclinic.co.uk	www.surfaceclinic.co.uk		Yorkshire and The Humber															
Surgicare Aesthetics	ME, 177 Bramley Road, Oakwood,		London	N14 4XA	Dr. Prash	surgicareaesthetics@gmail.com	https://surgicareaesthetics.uk																	
Surrey Dental & Aesthetics	40A Station Approach		West byfleet	KT14 6NE	Dr Zahra Siddiqui	info@sdaa.uk	www.sdaa.uk	1932352486	South East															
SV Aesthetics	22 Seymour St, London			W1H 7HY	?	info@svaesthetics.uk	www.svaesthetics.uk		London															
Swiss Care	64 Harley Street		London	W1G 7HB	Katia Herring	Katia@swiss-care.com	https://swiss-care.com/	2088862600	London															
Symmetria Clinic	88 St Mary's Road, Garston, Liverpool.			L19 2NL	Emma	symmetriafacialaesthetics@hotmail.com	www.symmetriaclinic.co.uk		North West															
Synergy Advanced Skincare & Aesthetics Dr Judy Todd	8 Penrith Avenue, Giffnock, Glasgow,			G46 6LU	Dr Judy Todd	judy.todd@icloud.com	www.synergygiffnock.co.uk		Scotland															
Thames Skin Clinic Ltd.	Thames Skin Clinic, 1-3 Baylis Mews, Twickenham,			TW1 3HQ	Dr Anna Hemming	admin@thamesskin.co.uk	www.thamesskin.co.uk		London															
The Aberdeen Clinic	387a North Deeside Road, Cults, Aberdeen.			AB15 9SX	Karen Urquhart	karen.urquhart@tachealthcare.com	www.theaberdeenclinic.com		Scotland															
The Aesthetics Club	49 Mount pleasant		London	WCX1 0AE	Fiona Grant	fiona@theaesteticsclub.co.uk	www.theaestheticsclub.co.uk																	
The Aesthetics Club	161 Milngavie Rd, Bearsden, Glasgow.			G61 3DY	Fiona Grant	info@theaestheticsclub.co.uk	www.theaestheticsclub.co.uk		Scotland															
The Clinic@78	78 Poole Road, Westbourne, Bournemouth, Dorset.			BH4 9DZ	Dr Tom Caudell	info@clinic78.co.uk	www.clinic78.co.uk		South West															
The Colchester Medical Aesthetics Clinic	15 High Street, Cochester			CO1 1DA	Dr Sawsan Ebaji, Dr. Abdullah Mawas & Dr Ali Ghanem	info@colchester-medical-aesthetics.com	www.colchester-medical-aesthetics.com		Eastern															
The Cosmetic Clinic	226 Dogsthorpe Road, Peterborough.			PE1 3PB	Dr Sravanthi Pasapula	peterboroughcosmeticclinic@aol.co.uk	www.ukcosmeticclinic.co.uk		Eastern															
The Courtyard Aesthetic Clinic	The Courtyard, St Cross Business Park, Newport, Isle of Wight.			PO30 5BF	Dr Hayley Elsmore	hello@thecourtyardcliniciw.co.uk	www.thecourtyardcliniciw.co.uk	1983241214	South East															
The Global Clinic	 446 London Rd, Lowfield, Sheffield			S2 4HP	Nadia Fazely	info@globalpharmacy.co.uk	www.globalpharmacy.co.uk		Yorkshire and The Humber															
The Goldsmith Clinic	5 Lordsmill St, Chesterfield. .			S41 7RW	Theresa Goldsmith	info@thegoldsmith.clinic	www.thegoldsmith.clinic		East Midlands															
The Harley Street Skin Clinic	48 Harley St, Marylebone, London.			W1G 9PU	Dr Aamir Khan	Paula Hall <paula@harleystreetskinclinic.com>	www.harleystreetskinclinic.com/en		London															
The Hart Spa	31 London Road, Sevenoaks , Kent			TN13 1AR	Paula Sharpe	info@thehartspasevenoaks.co.uk	www.thehartspasevenoaks.co.uk		South East															
The Hogarth Medispa	Airedale Avenue, Chiswick, London.			W4 2NW	Kellie Lloyd	KellieL@thehogarth.co.uk	www.thehogarthmedispa.co.uk		London															
The London Cosmetic Clinic	2nd Floor, 4 Harley St, Marylebone, London			W1G 9PB	Dr Salinda Johnson	info@thelondoncosmeticclinic.co.uk	www.thelondoncosmeticclinic.co.uk		London															
The Marlowe Clinic	Face & Body Clinic		Durham	DH7 6FE	Dr Raph	hello@themarloweclinic.co.uk	https://www.themarloweclinic.co.uk/		North East															
The Mews Practice Ltd	Elmdon House, 116 London Road, Guildford, Surrey.			GU1 1TN	Dr Kapoor	reception@themewspractice.com	www.themewspractice.com		South East															
The Nimmo Clinic	32 Anyards Road, Surrey. 			KT11 2LA	Dr. Martin Nimmo	info@drmartinnimmo.com	www.drmartinnimmo.com		South East															
The Organic Pharmacy	169 Kensington High Street, Kensington.			W8 6SH	The Organic Pharmacy	kensington@theorganicpharmacy.com	www.theorganicpharmacy.com		London															
The Oxford Wellness Doctor	310 London Road Headington		Oxford	OX3 8DJ	Inga Taganova	ingataganova@hotmail.com			South East															
The Oxford Wellness Doctor	310 London Road, Headington		Oxford	OX3 8DJ	Dr Inga Taganova / Dr Richard Sawyer	inga@theoxfordwellnessdoctor.co.uk	www.theoxfordwellnessdoctor.com		South East															
The Plastic Surgery Group	100 Harley street		London		Louise Holleron	Louise.holleron@thepsg.co.uk	www.theplasticsurgerygroup.co.uk	2037332069																
The Retreatery	2a High Street, East Grinstead, West Sussex.			RH19 3AW	Sharon Angelique	info@theretreatery.com	www.theretreatery.com		South East															
The Sal Clinic	Castell Close, Llansamlet, Swansea			SA7 9FH	Amar Ghattaura	amar@thesalclinic.com	https://thesalclinic.com/	1792797660	Wales															
The Salon	248 High Street Cranleigh Surrey			GU68RL	Chantal Johnson/ Stephanie Taylor		https://visitthesalon.com/	1483272822	London															
The Sanctum	149 King Street, Cottingham, East Yorkshire,			HU16 5QQ	Kara	hello@thesanctum-clinic.com	https://www.thesanctum-clinic.com/	7764785105	Yorkshire and The Humber															
The Sculpt Clinic	50 High St, Sunninghill, Ascot. SL59NF				Dr Deepa Panchalingam	deepa@thesculptclinic.co.uk	www.thesculptclinic.co.uk																	
The Well Clinic	8-9 Lambton Place, Notting Hill,			W11 2SH	Katie Parobek	contact@lazeo.co.uk	https://thewell-clinic.com/		London															
The Wellness Space	47 Darton Road, Cawthorne, Barnsley, South Yorkshire			S75 4HY	Dr Hannah Higgins	eception@thewellnessspace.org.uk	https://www.thewellnessspace.org.uk/#/	7707043739	Yorkshire and The Humber															
The White Rooms Clinic Liverpool	334 Smithdown Rd, Liverpool			L15 5AN	Clare Corless	info@thewhiteroomsclinic.co.uk	www.thewhiteroomsclinic.co.uk		North West															
The Wynyard Clinic	Unit 1 Suite 2, Chapell Lane, Wynyard Business Park, Wynyard.			TS22 5FG	Lynn	info@thewynyardclinic.co.uk	www.phorest.com/book/salons/thewynyardclinic		North East															
Time to Bloom	The Nook, R/O Bluebells 5 Barff Farm Thorpe Willoughby Selby			YO8 9NJ	Dr Lubna Khan-Salim	enquiries@timetobloom.uk	www.timetobloom.uk		Yorkshire and The Humber															
Tracey Bell Dental and Aesthetic Clinic	Kensington Road, Douglas, Isle of Man			IM1 3PE	Dr Tracey Bell, Karen Miller RGN, Mr Ben Caulfield	reinvent@traceybell.co.uk	www.traceybell.co.uk		British Isles															
Trikwan Aesthetics	61 South Molton Street, London,.			W1K 5SN	Dr Sanjay Trikha and Dr Zoya Diwan	info@trikwan.com	www.trikwan.com		London															
Uma Skin Clinic	21 Foxley Lane, Purley, England.			CR8 3EH	Dr Uma	info@umaaesthetics.com	www.umaskinclinic.com		London															
Venus Medical	Venus Medical, Heritage house, Dundrum office park, Dundrum, NIR			D14C 2R2	Peter Prendergast	info@venusmedical.ie	www.venusmedical.ie																	
Victor & Garth Aesthetics	Unit 6, FountLondon, 188 Shoreditch High Street, London,			E1 6HU	Dr Lauren	lauren@victorandgarth.co.uk	www.victorandgarth.co.uk		London															
Vie Aesthetics	2 Harley St, Marylebone, London			W1G 9PA	Dr Ioannis Liakas	info@vie-aesthetics.com	www.vie-aesthetics.com		London															
Vie Asthetics	78 London Hill Road, Rayleigh, Essex.			SS6 7HP	Dr Ioannis Liakas	info@vie-aesthetics.com	www.vie-aesthetics.com		Eastern															
Visage Skin and Aesthetics	Holt Pound Lane	Surrey	Farnham	GU10 4JY	Georgina Abrook	gabrook36@gmail.com	https://visageskinandaesthetics.com/	7885604848	South East															
Visodental	5 Pump St, Londonderry.			BT48 6JG	Dr Patricia Mullan	patricia.mullan1@btinternet.com	www.facebook.com/visodental		Northern Ireland															
Vitalize	Barham Court	Kent	Teston	ME18 5BZ		hello@vitalizeclinic.co.uk	https://www.vitalizeclinic.co.uk/	1622872091	South East															
Vitalize - Skin & Wellness Clinic	Barham Court, Teston, Maidstone ME18 5BZ		Teston, Maidstone	ME18 5BZ	Dr Johanna Ward	hello@vitalizeclinic.co.uk	https://www.vitalizeclinic.co.uk	4,41622E+11	South East															
Westbourne Grove Denta	18, Chepstow Corner		London	W2 4XE	Rebecca Roberts	drsonia@westbournegrovedental.co.uk	https://www.westbournegrovedental.co.uk/		London															
Zenith Cosmetic Clinics	6 Clinton Terrace, Derby Road, Nottingham.			NG7 1LY	Dr Dinesh Maini	info@zenithcosmeticclinics.co.uk	www.zenithcosmeticclinics.co.uk		East Midlands															
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
